"Statistic","Sex","Ethnicity","Cause of Death","Age Group","UNIT","2017","2018","2019","2020","2021","2022"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","H60-H95 Diseases of the ear and mastoid process","64 years and under","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","H60-H95 Diseases of the ear and mastoid process","65 years and over","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","I00-I99 Diseases of the circulatory system","All ages","Number","","","","","",""
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","I00-I99 Diseases of the circulatory system","Under 5 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","I00-I99 Diseases of the circulatory system","5 - 19 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","I00-I99 Diseases of the circulatory system","20 - 39 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","I00-I99 Diseases of the circulatory system","40 - 64 years","Number","90","87","168","81","78","75"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","I00-I99 Diseases of the circulatory system","65 - 69 years","Number","1282","0","1020","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","I00-I99 Diseases of the circulatory system","70 - 74 years","Number","1724","1724","1667","1562","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","I00-I99 Diseases of the circulatory system","75 - 79 years","Number","3571","3333","0","0","2273","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","I00-I99 Diseases of the circulatory system","80 - 84 years","Number","0","0","0","0","5556","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","I00-I99 Diseases of the circulatory system","85 years and over","Number","0","0","0","7143","0","6250"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","I00-I99 Diseases of the circulatory system","64 years and under","Number","17","17","32","16","16","15"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","I00-I99 Diseases of the circulatory system","65 years and over","Number","1579","1471","901","1250","1172","360"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","J00-J99 Diseases of the respiratory system","All ages","Number","","","","","",""
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","J00-J99 Diseases of the respiratory system","Under 5 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","J00-J99 Diseases of the respiratory system","5 - 19 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","J00-J99 Diseases of the respiratory system","20 - 39 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","J00-J99 Diseases of the respiratory system","40 - 64 years","Number","0","0","84","81","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","J00-J99 Diseases of the respiratory system","65 - 69 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","J00-J99 Diseases of the respiratory system","70 - 74 years","Number","0","1724","1667","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","J00-J99 Diseases of the respiratory system","75 - 79 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","J00-J99 Diseases of the respiratory system","80 - 84 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","J00-J99 Diseases of the respiratory system","85 years and over","Number","0","8333","8333","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","J00-J99 Diseases of the respiratory system","64 years and under","Number","0","0","16","16","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","J00-J99 Diseases of the respiratory system","65 years and over","Number","526","980","901","833","391","360"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","K00-K93 Diseases of the digestive system","All ages","Number","","","","","",""
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","K00-K93 Diseases of the digestive system","Under 5 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","K00-K93 Diseases of the digestive system","5 - 19 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","K00-K93 Diseases of the digestive system","20 - 39 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","K00-K93 Diseases of the digestive system","40 - 64 years","Number","90","87","84","0","78","75"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","K00-K93 Diseases of the digestive system","65 - 69 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","K00-K93 Diseases of the digestive system","70 - 74 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","K00-K93 Diseases of the digestive system","75 - 79 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","K00-K93 Diseases of the digestive system","80 - 84 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","K00-K93 Diseases of the digestive system","85 years and over","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","K00-K93 Diseases of the digestive system","64 years and under","Number","17","17","16","0","16","15"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","K00-K93 Diseases of the digestive system","65 years and over","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","L00-L99 Diseases of the skin and subcutaneous tissue","All ages","Number","","","","","",""
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","L00-L99 Diseases of the skin and subcutaneous tissue","Under 5 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","L00-L99 Diseases of the skin and subcutaneous tissue","5 - 19 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","L00-L99 Diseases of the skin and subcutaneous tissue","20 - 39 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","L00-L99 Diseases of the skin and subcutaneous tissue","40 - 64 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","L00-L99 Diseases of the skin and subcutaneous tissue","65 - 69 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","L00-L99 Diseases of the skin and subcutaneous tissue","70 - 74 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","L00-L99 Diseases of the skin and subcutaneous tissue","75 - 79 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","L00-L99 Diseases of the skin and subcutaneous tissue","80 - 84 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","L00-L99 Diseases of the skin and subcutaneous tissue","85 years and over","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","L00-L99 Diseases of the skin and subcutaneous tissue","64 years and under","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","L00-L99 Diseases of the skin and subcutaneous tissue","65 years and over","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","M00-M99 Diseases of musculoskeletal system and connective tissue","All ages","Number","","","","","",""
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","M00-M99 Diseases of musculoskeletal system and connective tissue","Under 5 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","M00-M99 Diseases of musculoskeletal system and connective tissue","5 - 19 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","M00-M99 Diseases of musculoskeletal system and connective tissue","20 - 39 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","M00-M99 Diseases of musculoskeletal system and connective tissue","40 - 64 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","M00-M99 Diseases of musculoskeletal system and connective tissue","65 - 69 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","M00-M99 Diseases of musculoskeletal system and connective tissue","70 - 74 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","M00-M99 Diseases of musculoskeletal system and connective tissue","75 - 79 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","M00-M99 Diseases of musculoskeletal system and connective tissue","80 - 84 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","M00-M99 Diseases of musculoskeletal system and connective tissue","85 years and over","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","M00-M99 Diseases of musculoskeletal system and connective tissue","64 years and under","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","M00-M99 Diseases of musculoskeletal system and connective tissue","65 years and over","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","N00-N99 Diseases of genitourinary system","All ages","Number","","","","","",""
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","N00-N99 Diseases of genitourinary system","Under 5 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","N00-N99 Diseases of genitourinary system","5 - 19 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","N00-N99 Diseases of genitourinary system","20 - 39 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","N00-N99 Diseases of genitourinary system","40 - 64 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","N00-N99 Diseases of genitourinary system","65 - 69 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","N00-N99 Diseases of genitourinary system","70 - 74 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","N00-N99 Diseases of genitourinary system","75 - 79 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","N00-N99 Diseases of genitourinary system","80 - 84 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","N00-N99 Diseases of genitourinary system","85 years and over","Number","0","0","0","0","0","0"
